Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
12534357.065129068,688706624.851164,1101400000.0,830.0553709508954,0.0040159320208653215
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
12423919.671972526,688706624.851164,1101400000.0,828.8630320710034,0.003951840701647859
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
6851183.392576947,688706624.851164,1101400000.0,488.5173425469934,0.001775654828071667
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
10341031.18630669,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
5207620.77839916,688706624.851164,1101400000.0,345.35553470241473,0.0016661717718090144
26954466.23862507,688706624.851164,1101400000.0,972.0248399155821,0.004061323757910511
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30465668.371791713,688706624.851164,1101400000.0,1175.079715556292,0.004292327983158789
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
25269867.160424884,688706624.851164,1101400000.0,846.2619917018845,0.004096435941608216
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
16862266.964954708,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
30593901.78022465,688706624.851164,1101400000.0,1178.0631604932614,0.004361301962810611
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
20568259.779741175,688706624.851164,1101400000.0,1687.2829830146682,0.0011962932263967943
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
23698429.659389712,688706624.851164,1101400000.0,1856.9679636350922,0.0015388932541129732
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
29143990.462472327,688706624.851164,1101400000.0,2064.731173620291,0.002947340863081427
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
21086475.56820865,688706624.851164,1101400000.0,1719.519908804196,0.0012402470313992032
0.0,688706624.851164,1101400000.0,0.0,0.0
