A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
131,147.45127113692325,10.0,0.7907172471306455,79.05032573087749,1.0,0.3963270388716615,78.1770782666301,10.0,0.6390480838640243,116.63385068862831,1.0,0.2799536818103711,36.24276978666617,1.0,0.7941489118173332,4.5,4.5,2.5
45,42.18228580315744,1.0,0.9677299943801057,172.8341822574565,10.0,0.83658669593385,117.27906034654868,1.0,0.5535788743656108,80.56532381559877,1.5,0.7563246580590715,108.95290948420688,10.0,0.8398780460478007,4.5,1.5,1.5
56,261.566895434895,1.0,0.3037660711229934,55.23177915484308,1.0,0.4533683136574254,269.91002079138786,1.5,0.8063258978122999,329.1099366367811,10.0,0.1883491848042114,45.52714782264192,1.5,0.0983481038729418,1.5,4.5,3.5
106,200.419118356935,10.0,0.0072193145147083,126.85209920457156,1.0,0.4240211164964129,219.7371321646026,1.0,0.8452879904277644,59.31874470567576,1.0,0.1189577042103656,297.6226897179059,1.5,0.6644546087135984,2.5,4.5,1.5
68,92.93691744704137,1.5,0.6493941326547089,139.98081654996838,1.0,0.4268328416109062,114.0269898420081,10.0,0.0495883538409539,276.1995922727705,1.0,0.9148080530742354,283.02965811514827,1.0,0.8149852466330497,3.5,1.5,4.5
42,340.4518835066869,1.0,0.557559969727827,42.055653743670106,10.0,0.787582354351576,230.9216646375752,1.0,1.3481411346393554e-05,247.9247774483051,1.0,0.2218354969420597,142.0418301631497,1.0,0.2142482764388242,1.5,3.5,1.5
68,77.93400817631422,1.0,0.1274789327238465,130.26540949447468,1.5,0.2072328364821453,181.0830978011833,1.0,0.0337103449323613,307.2675289402456,10.0,0.3515160137001437,277.34172446098233,1.5,0.7688185888088921,1.5,1.5,1.5
70,180.67355302962164,1.0,0.3255206700307999,144.98793788929513,1.0,0.1091151663121469,128.62141780744778,1.5,0.0048121555211041,299.9361134785744,10.0,0.6608447575908203,65.93533515140933,10.0,0.8888588693850645,1.5,2.5,1.5
96,227.7094987822198,10.0,0.3185614358618104,146.65000730688,1.5,0.0314186770039959,342.66675985030685,1.5,0.002082007852759,99.83529022217029,1.5,0.0159142164521731,331.20416575803705,1.5,0.1657464373153405,1.5,1.5,1.5
58,150.65611267864082,1.5,0.1506430439342506,197.36519662085672,10.0,0.0216965102965955,345.95290337775003,1.0,0.0419846088799999,227.78910539550824,1.0,0.1040169902135586,109.85434765481465,1.5,0.8896020922688048,1.5,2.5,2.5
